Hour,FPR_Query,FNR_Query,FPR_Insert,FNR_Insert,FPR_Delete,FNR_Delete,Inserts,Deletes,Queries,Insert_Rate,Delete_Rate,Query_Rate
173,0,0,0,0.0004,0,0,2735,415,779,6.6223,1.0048,1.8862
174,0,0,0,0,0,0,2726,406,797,6.6005,0.9831,1.9298
175,0,0,0,0.0004,0,0,2733,412,784,6.6174,0.9976,1.8983
176,0,0,0,0.0004,0,0,2793,381,755,6.7627,0.9225,1.8281
177,0,0,0,0,0,0,2757,402,770,6.6755,0.9734,1.8644
178,0,0,0,0,0,0,2756,376,797,6.6731,0.9104,1.9298
179,0,0,0,0.0004,0,0,2720,418,791,6.586,1.0121,1.9153
180,0,0,0,0.0004,0,0,2775,374,780,6.7191,0.9056,1.8886
181,0,0,0,0.0004,0,0,2765,374,790,6.6949,0.9056,1.9128
182,0,0,0,0.0004,0,0,2727,408,794,6.6029,0.9879,1.9225
183,0,0,0,0.0004,0,0,2796,377,756,6.77,0.9128,1.8305
184,0,0,0,0.0004,0,0,2757,366,806,6.6755,0.8862,1.9516
185,0,0,0,0.0004,0,0,2726,389,814,6.6005,0.9419,1.9709
186,0,0,0,0.0004,0,0,2763,363,803,6.6901,0.8789,1.9443
187,0,0,0,0.0004,0,0,2795,387,747,6.7676,0.937,1.8087
188,0,0,0,0.0004,0,0,2786,387,756,6.7458,0.937,1.8305
189,0,0,0,0.0004,0,0,2744,380,805,6.6441,0.9201,1.9492
190,0,0,0,0.0004,0,0,2757,411,761,6.6755,0.9952,1.8426
191,0,0,0,0,0,0,2750,411,768,6.6586,0.9952,1.8596
192,0,0,0,0,0.0025,0,2736,403,790,6.6247,0.9758,1.9128
193,0,0,0,0.0004,0,0,2719,403,807,6.5835,0.9758,1.954
194,0,0,0,0.0004,0,0,2776,401,752,6.7215,0.9709,1.8208
195,0,0,0,0,0,0,2765,435,729,6.6949,1.0533,1.7651
196,0,0,0,0,0,0,2781,406,742,6.7337,0.9831,1.7966
197,0,0,0,0.0004,0,0,2769,383,777,6.7046,0.9274,1.8814
198,0,0,0,0.0004,0,0,2693,421,815,6.5206,1.0194,1.9734
199,0,0,0,0.0004,0,0,2756,431,742,6.6731,1.0436,1.7966
200,0,0,0,0.0004,0,0,2776,383,770,6.7215,0.9274,1.8644
201,0,0,0,0,0,0,2711,405,813,6.5642,0.9806,1.9685
202,0,0,0,0.0004,0,0,2822,362,745,6.8329,0.8765,1.8039
203,0,0,0,0.0004,0,0,2781,403,745,6.7337,0.9758,1.8039
204,0,0,0,0.0004,0,0,2743,381,805,6.6416,0.9225,1.9492
205,0,0,0,0.0004,0,0,2729,377,823,6.6077,0.9128,1.9927
206,0,0,0,0.0004,0,0,2772,406,751,6.7119,0.9831,1.8184
207,0,0,0,0,0,0,2760,364,805,6.6828,0.8814,1.9492
208,0,0,0,0.0004,0,0,2701,428,800,6.54,1.0363,1.937
209,0,0,0,0.0004,0,0,2782,388,759,6.7361,0.9395,1.8378
210,0,0,0,0.0004,0,0,2740,418,771,6.6344,1.0121,1.8668
211,0,0,0,0.0004,0,0,2752,382,795,6.6634,0.9249,1.9249
212,0,0,0,0,0,0,2788,363,778,6.7506,0.8789,1.8838
213,0,0,0,0.0004,0,0,2719,391,819,6.5835,0.9467,1.9831
214,0,0,0,0,0.0025,0,2741,393,795,6.6368,0.9516,1.9249
215,0,0,0,0.0004,0,0,2721,391,817,6.5884,0.9467,1.9782
216,0,0,0,0.0004,0,0,2752,391,786,6.6634,0.9467,1.9031
217,0,0,0,0,0,0,2689,407,833,6.5109,0.9855,2.0169
218,0,0,0,0.0004,0,0,2765,414,750,6.6949,1.0024,1.816
219,0,0,0,0,0,0,2766,415,748,6.6973,1.0048,1.8111
220,0,0,0,0.0004,0,0,2765,390,774,6.6949,0.9443,1.8741
221,0,0,0,0.0004,0,0,2775,394,760,6.7191,0.954,1.8402
222,0,0,0,0.0004,0,0,2733,422,774,6.6174,1.0218,1.8741
223,0,0,0,0.0004,0,0,2775,367,787,6.7191,0.8886,1.9056
224,0,0,0,0.0004,0,0,2729,390,810,6.6077,0.9443,1.9613
225,0,0,0,0.0004,0,0,2737,432,760,6.6271,1.046,1.8402
226,0,0,0,0.0004,0,0,2702,396,831,6.5424,0.9588,2.0121
227,0,0,0,0,0.0026,0,2767,380,782,6.6998,0.9201,1.8935
228,0,0,0,0.0004,0,0,2725,414,790,6.5981,1.0024,1.9128
229,0,0,0,0.0004,0,0,2745,387,797,6.6465,0.937,1.9298
230,0,0,0,0.0004,0,0,2759,365,805,6.6804,0.8838,1.9492
231,0,0,0,0.0004,0,0,2728,403,798,6.6053,0.9758,1.9322
232,0,0,0,0.0004,0,0,2763,408,758,6.6901,0.9879,1.8354
233,0,0,0,0.0004,0,0,2769,402,758,6.7046,0.9734,1.8354
234,0,0,0,0.0004,0,0,2736,397,796,6.6247,0.9613,1.9274
235,0,0,0,0.0004,0,0,2753,406,770,6.6659,0.9831,1.8644
236,0,0,0,0.0004,0,0,2755,390,784,6.6707,0.9443,1.8983
237,0,0,0,0.0004,0,0,2717,409,803,6.5787,0.9903,1.9443
238,0,0,0,0.0004,0,0,2734,367,828,6.6199,0.8886,2.0048
239,0,0,0,0,0,0,2725,406,798,6.5981,0.9831,1.9322
240,0,0,0,0.0004,0,0,2765,395,769,6.6949,0.9564,1.862
241,0,0,0,0.0004,0,0,2731,399,799,6.6126,0.9661,1.9346
